frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
22,0.7,1,motorcycle,1674,699,1777,781,1725,740,0.4136,3.16,Stationary,1.19,Stationary,Normal
22,0.7,11,car,1878,500,1914,532,1896,516,0.4459,3.0,Stationary,1.12,Stationary,Normal
23,0.733,24,motorcycle,1699,796,1747,889,1723,842,0.5817,5.0,Up,1.88,Moving,Normal
23,0.733,23,motorcycle,1220,842,1272,907,1246,874,0.4716,8.06,Right,3.02,Moving,Normal
23,0.733,11,car,1878,501,1913,532,1895,516,0.4882,1.0,Stationary,0.38,Stationary,Normal
24,0.767,24,motorcycle,1700,793,1748,884,1724,838,0.4943,4.12,Up,1.55,Moving,Normal
24,0.767,23,motorcycle,1216,810,1284,896,1250,853,0.4926,21.38,Up,8.02,Moving,Normal
24,0.767,11,car,1876,504,1909,532,1892,518,0.5273,3.61,Stationary,1.35,Stationary,Normal
24,0.767,7,motorcycle,1427,757,1482,848,1454,802,0.4181,28.43,Up,10.66,Moving,Normal
25,0.8,24,motorcycle,1703,786,1750,875,1726,830,0.4689,8.25,Up,3.09,Moving,Normal
25,0.8,23,motorcycle,1220,796,1293,891,1256,843,0.4832,11.66,Up,4.37,Moving,Normal
25,0.8,11,car,1871,498,1910,532,1890,515,0.4051,3.61,Stationary,1.35,Stationary,Normal
25,0.8,7,motorcycle,1429,750,1485,844,1457,797,0.5116,5.83,Up,2.19,Moving,Normal
26,0.833,24,motorcycle,1706,781,1752,869,1729,825,0.6111,5.83,Up,2.19,Moving,Normal
26,0.833,23,motorcycle,1227,796,1296,886,1261,841,0.5162,5.39,Right,2.02,Moving,Normal
26,0.833,7,motorcycle,1437,755,1487,839,1462,797,0.4562,5.0,Right,1.88,Moving,Normal
27,0.867,24,motorcycle,1706,775,1753,862,1729,818,0.5588,7.0,Up,2.62,Moving,Normal
27,0.867,23,motorcycle,1233,789,1303,881,1268,835,0.5839,9.22,Right,3.46,Moving,Normal
27,0.867,7,motorcycle,1446,761,1491,836,1468,798,0.5035,6.08,Right,2.28,Moving,Normal
28,0.9,24,motorcycle,1709,776,1753,858,1731,817,0.5366,2.24,Stationary,0.84,Stationary,Normal
28,0.9,23,motorcycle,1241,790,1305,875,1273,832,0.4585,5.83,Right,2.19,Moving,Normal
28,0.9,7,motorcycle,1446,751,1495,831,1470,791,0.4493,7.28,Up,2.73,Moving,Normal
29,0.933,24,motorcycle,1710,770,1754,852,1732,811,0.5332,6.08,Up,2.28,Moving,Normal
29,0.933,23,motorcycle,1245,779,1314,871,1279,825,0.5749,9.22,Up,3.46,Moving,Normal
29,0.933,7,motorcycle,1450,742,1500,826,1475,784,0.542,8.6,Up,3.23,Moving,Normal
30,0.967,24,motorcycle,1712,768,1756,848,1734,808,0.4484,3.61,Stationary,1.35,Stationary,Normal
30,0.967,23,motorcycle,1254,778,1318,865,1286,821,0.613,8.06,Right,3.02,Moving,Normal
30,0.967,7,motorcycle,1455,737,1505,821,1480,779,0.4788,7.07,Up,2.65,Moving,Normal
31,1.0,24,motorcycle,1714,760,1758,842,1736,801,0.5056,7.28,Up,2.73,Moving,Normal
31,1.0,23,motorcycle,1258,769,1324,860,1291,814,0.5035,8.6,Up,3.23,Moving,Normal
31,1.0,7,motorcycle,1462,740,1509,817,1485,778,0.4159,5.1,Right,1.91,Moving,Normal
32,1.033,23,motorcycle,1262,764,1328,857,1295,810,0.4713,5.66,Up,2.12,Moving,Normal
32,1.033,7,motorcycle,1470,747,1510,813,1490,780,0.4464,5.39,Right,2.02,Moving,Normal
